1,0.57
2,0.615
3,0.66
4,0.675
5,0.68
6,0.69
7,0.71
8,0.72
9,0.73
10,0.74
11,0.755
12,0.755
13,0.755
14,0.755
15,0.755
16,0.755
17,0.755
18,0.76
19,0.76
20,0.76
21,0.765
22,0.77
23,0.77
24,0.77
25,0.78
26,0.79
27,0.79
28,0.79
29,0.79
30,0.805
31,0.805
32,0.805
33,0.805
34,0.805
35,0.805
36,0.805
37,0.805
38,0.815
39,0.815
40,0.82
41,0.82
42,0.825
43,0.825
44,0.825
45,0.825
46,0.825
47,0.825
48,0.825
49,0.825
50,0.825
51,0.825
52,0.825
53,0.83
54,0.83
55,0.83
56,0.83
57,0.835
58,0.835
59,0.835
60,0.835
61,0.835
62,0.835
63,0.835
64,0.835
65,0.835
66,0.835
67,0.835
68,0.835
69,0.835
70,0.835
71,0.835
72,0.835
73,0.835
74,0.835
75,0.84
76,0.84
77,0.84
78,0.84
79,0.845
80,0.845
81,0.845
82,0.845
83,0.845
84,0.85
85,0.855
86,0.855
87,0.855
88,0.855
89,0.855
90,0.86
91,0.86
92,0.86
93,0.865
94,0.865
95,0.865
96,0.865
97,0.865
98,0.865
99,0.865
100,0.865
